1891.0	1914.0	357.0	2044.0	2055.143310546875	2007.4815673828125
1891.0	1912.0	355.0	2044.0	2055.07373046875	2005.6273193359375
1890.0	1911.0	358.0	2045.0	2054.39990234375	2007.0867919921875
1889.0	1911.0	358.0	2044.0	2049.707763671875	2005.275146484375
1891.0	1909.0	358.0	2043.0	2055.264404296875	2007.4078369140625
1901.0	1907.0	357.0	2044.0	2030.66162109375	2010.1588134765625
1902.0	1914.0	355.0	2043.0	2007.7750244140625	1993.0673828125
1902.0	1910.0	358.0	2045.0	2011.6444091796875	2000.219970703125
1901.0	1910.0	357.0	2045.0	2017.6363525390625	2001.8233642578125
1901.0	1911.0	358.0	2045.0	2017.1954345703125	1997.0338134765625
1901.0	1912.0	357.0	2045.0	2020.01220703125	1992.3916015625
1903.0	1911.0	357.0	2043.0	2018.43603515625	1996.0362548828125
1900.0	1911.0	358.0	2044.0	2028.7630615234375	1994.6849365234375
1900.0	1911.0	357.0	2044.0	2024.3138427734375	1996.648681640625
1901.0	1911.0	355.0	2042.0	2034.23583984375	1992.9171142578125
1899.0	1911.0	358.0	2044.0	2032.09033203125	1993.28271484375
1900.0	1911.0	357.0	2044.0	2032.9267578125	1992.7908935546875
1901.0	1911.0	357.0	2045.0	2039.6837158203125	1992.21435546875
1903.0	1911.0	357.0	2043.0	2032.497802734375	1991.93896484375
1900.0	1913.0	358.0	2045.0	2038.4322509765625	1990.612060546875
1903.0	1908.0	357.0	2044.0	2033.986572265625	2001.7469482421875
1900.0	1910.0	357.0	2045.0	2046.800537109375	1994.13134765625
1901.0	1911.0	357.0	2043.0	2044.6907958984375	1990.4136962890625
1897.0	1911.0	357.0	2046.0	2044.5247802734375	1990.033935546875
1904.0	1911.0	358.0	2045.0	2032.447998046875	1993.45068359375
1900.0	1907.0	356.0	2043.0	2042.3026123046875	1994.160400390625
1901.0	1908.0	357.0	2045.0	2047.5953369140625	1989.6976318359375
1901.0	1913.0	357.0	2043.0	2043.426025390625	1984.819580078125
1900.0	1911.0	357.0	2045.0	2043.9007568359375	1989.0516357421875
1902.0	1909.0	356.0	2042.0	2045.0738525390625	1986.1494140625
1902.0	1910.0	357.0	2044.0	2044.215087890625	1992.8221435546875
1903.0	1908.0	357.0	2045.0	2045.865478515625	1997.24560546875
1900.0	1911.0	358.0	2045.0	2053.82470703125	1988.7191162109375
1899.0	1912.0	356.0	2045.0	2049.9208984375	1989.279052734375
1901.0	1905.0	356.0	2046.0	2049.762451171875	1988.7197265625
1902.0	1910.0	357.0	2045.0	2046.8724365234375	1985.5657958984375
1891.0	1913.0	354.0	2042.0	2063.25244140625	1981.4412841796875
1891.0	1912.0	356.0	2045.0	2090.4462890625	1984.933349609375
1891.0	1911.0	358.0	2044.0	2089.077880859375	1988.512451171875
1893.0	1912.0	356.0	2045.0	2081.342529296875	1984.85595703125
1892.0	1911.0	356.0	2045.0	2081.21875	1988.4962158203125
1894.0	1911.0	356.0	2044.0	2069.82470703125	1988.3719482421875
1891.0	1911.0	358.0	2045.0	2075.76806640625	1988.58154296875
1886.0	1912.0	357.0	2043.0	2083.939697265625	1988.08740234375
1893.0	1910.0	356.0	2044.0	2067.56982421875	1992.1522216796875
1891.0	1911.0	357.0	2042.0	2072.91796875	1988.6265869140625
1893.0	1915.0	356.0	2044.0	2065.481689453125	1983.405029296875
1892.0	1910.0	357.0	2042.0	2067.406005859375	1992.114990234375
1892.0	1909.0	358.0	2045.0	2067.05322265625	1995.6988525390625
1894.0	1923.0	357.0	2047.0	2062.84716796875	1954.7489013671875
1891.0	1925.0	358.0	2045.0	2068.769775390625	1945.9669189453125
1890.0	1927.0	357.0	2043.0	2068.769775390625	1950.115966796875
1891.0	1925.0	357.0	2045.0	2067.1669921875	1952.4649658203125
1888.0	1923.0	355.0	2045.0	2070.544677734375	1962.66357421875
1892.0	1935.0	355.0	2043.0	2061.945068359375	1961.0611572265625
1891.0	1929.0	358.0	2044.0	2064.61474609375	1959.58837890625
1891.0	1927.0	356.0	2044.0	2064.61474609375	1965.420654296875
1890.0	1923.0	356.0	2045.0	2059.562255859375	1971.8795166015625
1892.0	1923.0	356.0	2045.0	2059.911865234375	1973.6781005859375
1892.0	1926.0	357.0	2044.0	2058.6611328125	1967.440185546875
1891.0	1924.0	357.0	2045.0	2062.681884765625	1973.3150634765625
1890.0	1923.0	357.0	2045.0	2062.025146484375	1978.3828125
1891.0	1926.0	356.0	2045.0	2062.6953125	1971.7642822265625
1906.0	1924.0	357.0	2042.0	2054.46044921875	1977.0074462890625
1895.0	1921.0	357.0	2044.0	2053.781494140625	1973.0045166015625
1892.0	1919.0	356.0	2044.0	2058.07958984375	1985.8118896484375
1891.0	1923.0	358.0	2045.0	2062.631103515625	1980.138916015625
1892.0	1925.0	357.0	2044.0	2057.782470703125	1977.09912109375
1891.0	1926.0	357.0	2045.0	2062.7119140625	1974.2806396484375
1893.0	1923.0	357.0	2044.0	2058.69091796875	1981.41552734375
1891.0	1925.0	357.0	2046.0	2057.7177734375	1979.1385498046875
1893.0	1924.0	357.0	2044.0	2052.892333984375	1983.1558837890625
1892.0	1924.0	357.0	2044.0	2052.7783203125	1987.364501953125
1895.0	1924.0	356.0	2045.0	2050.04736328125	1983.83349609375
1896.0	1920.0	357.0	2044.0	2054.032470703125	1988.341552734375
1891.0	1929.0	356.0	2046.0	2057.239990234375	1977.0126953125
1891.0	1924.0	358.0	2042.0	2056.45654296875	1985.2342529296875
1891.0	1924.0	355.0	2043.0	2062.2177734375	1985.7772216796875
